date,Close,Volume
2012-01-11,0.723,1259414
2012-01-12,0.711,798386
2012-01-13,0.668,2112041
2012-01-16,0.635,925035
2012-01-17,0.666,2269983
2012-01-18,0.624,877042
2012-01-19,0.635,1010846
2012-01-20,0.648,1076399
2012-01-30,0.655,923797
2012-01-31,0.65,620033
2012-02-01,0.653,1507848
2012-02-02,0.67,738967
2012-02-03,0.682,1039459
2012-02-06,0.69,1299406
2012-02-07,0.675,1092323
2012-02-08,0.696,2008554
2012-02-09,0.701,1164093
2012-02-10,0.701,1130999
2012-02-13,0.718,1172847
2012-02-14,0.715,580792
2012-02-15,0.726,791499
2012-02-16,0.723,500557
2012-02-17,0.719,679878
2012-02-20,0.723,391840
2012-02-21,0.738,773069
2012-02-22,0.762,1931577
2012-02-23,0.76,1242343
2012-02-24,0.764,1364451
2012-02-27,0.763,1102135
2012-02-28,0.75,938067
2012-02-29,0.737,827837
2012-03-01,0.743,825474
2012-03-02,0.759,645977
2012-03-05,0.761,471584
2012-03-06,0.752,541517
2012-03-07,0.749,613845
2012-03-08,0.765,401792
2012-03-09,0.779,1229445
2012-03-12,0.786,1078038
2012-03-13,0.793,353075
2012-03-14,0.756,1256207
2012-03-15,0.747,1291506
2012-03-16,0.767,983076
2012-03-19,0.78,654366
2012-03-20,0.756,890519
2012-03-21,0.75,681999
2012-03-22,0.752,513536
2012-03-23,0.74,776488
2012-03-26,0.739,215878
2012-03-27,0.737,372739
2012-03-28,0.7,462983
2012-03-29,0.686,643975
2012-03-30,0.683,278797
2012-04-05,0.701,648609
2012-04-06,0.703,505093
2012-04-09,0.691,255384
2012-04-10,0.7,432217
2012-04-11,0.701,405370
2012-04-12,0.718,713463
2012-04-13,0.722,635922
2012-04-16,0.719,370352
2012-04-17,0.71,350163
2012-04-18,0.728,1247347
2012-04-19,0.728,618379
2012-04-20,0.729,546081
2012-04-23,0.686,1416034
2012-04-24,0.683,682601
2012-04-25,0.684,349221
2012-04-26,0.681,361390
2012-04-27,0.688,444965
2012-05-02,0.698,661551
2012-05-03,0.703,580505
2012-05-04,0.719,849685
2012-05-07,0.737,961354
2012-05-08,0.734,1159377
2012-05-09,0.724,644416
2012-05-10,0.732,759577
2012-05-11,0.722,581807
2012-05-14,0.722,884658
2012-05-15,0.724,431853
2012-05-16,0.714,609532
2012-05-17,0.72,512170
2012-05-18,0.712,310182
2012-05-21,0.708,625508
2012-05-22,0.721,427356
2012-05-23,0.716,190881
2012-05-24,0.716,608668
2012-05-25,0.706,350700
2012-05-28,0.712,863871
2012-05-29,0.725,570214
2012-05-30,0.732,505872
2012-05-31,0.74,851395
2012-06-01,0.739,424838
2012-06-04,0.723,399902
2012-06-05,0.721,246055
2012-06-06,0.72,187241
2012-06-07,0.717,172866
2012-06-08,0.721,606894
2012-06-11,0.744,889516
2012-06-12,0.741,1617944
2012-06-13,0.752,625822
2012-06-14,0.745,574178
2012-06-15,0.747,420843
2012-06-18,0.759,414609
2012-06-19,0.752,394249
2012-06-20,0.754,795285
2012-06-21,0.744,350100
2012-06-25,0.73,248727
2012-06-26,0.721,979512
2012-06-27,0.725,538399
2012-06-28,0.716,388719
2012-06-29,0.734,1030935
2012-07-02,0.75,484549
2012-07-03,0.749,417137
2012-07-04,0.743,265669
2012-07-05,0.728,771299
2012-07-06,0.745,1664872
2012-07-09,0.725,677716
2012-07-10,0.72,631006
2012-07-11,0.726,427004
2012-07-12,0.738,640806
2012-07-13,0.73,435718
2012-07-16,0.697,285047
2012-07-17,0.702,410815
2012-07-18,0.707,649551
2012-07-19,0.714,713165
2012-07-20,0.71,281833
2012-07-23,0.711,254231
2012-07-24,0.711,490172
2012-07-25,0.713,370049
2012-07-26,0.712,396289
2012-07-27,0.709,193437
2012-07-30,0.694,129821
2012-07-31,0.683,1392909
2012-08-01,0.695,811924
2012-08-02,0.695,396259
2012-08-03,0.719,596822
2012-08-06,0.736,846427
2012-08-07,0.741,390165
2012-08-08,0.735,287187
2012-08-09,0.748,622063
2012-08-10,0.748,260096
2012-08-13,0.732,202545
2012-08-14,0.742,809271
2012-08-15,0.734,402848
2012-08-16,0.729,172661
2012-08-17,0.727,428045
2012-08-20,0.736,739893
2012-08-21,0.753,959659
2012-08-22,0.752,690740
2012-08-23,0.755,681603
2012-08-24,0.739,348915
2012-08-27,0.728,575116
2012-08-28,0.733,1041455
2012-08-29,0.731,714670
2012-08-30,0.707,2098216
2012-08-31,0.713,703635
2012-09-03,0.729,914801
2012-09-04,0.728,410945
2012-09-05,0.736,637443
2012-09-06,0.744,504693
2012-09-07,0.766,1315268
2012-09-10,0.767,779668
2012-09-11,0.766,264110
2012-09-12,0.766,567211
2012-09-13,0.751,263807
2012-09-14,0.748,517151
2012-09-17,0.727,358803
2012-09-18,0.729,647044
2012-09-19,0.734,883205
2012-09-20,0.712,269997
2012-09-21,0.694,1044145
2012-09-24,0.696,1210178
2012-09-25,0.684,224576
2012-09-26,0.666,299802
2012-09-27,0.683,1262489
2012-09-28,0.696,1811374
2012-10-08,0.697,218137
2012-10-09,0.717,689315
2012-10-10,0.725,622088
2012-10-11,0.717,336412
2012-10-12,0.711,546107
2012-10-15,0.708,172887
2012-10-16,0.709,660981
2012-10-17,0.713,586842
2012-10-18,0.724,660800
2012-10-19,0.723,200999
2012-10-22,0.728,170946
2012-10-23,0.713,255885
2012-10-24,0.711,187707
2012-10-25,0.699,307468
2012-10-26,0.688,223240
2012-10-29,0.692,131865
2012-10-30,0.692,258520
2012-10-31,0.695,108355
2012-11-01,0.706,249390
2012-11-02,0.705,134040
2012-11-05,0.696,140449
2012-11-06,0.693,118025
2012-11-07,0.692,91882
2012-11-08,0.679,103003
2012-11-09,0.678,62687
2012-11-12,0.682,120950
2012-11-13,0.671,73750
2012-11-14,0.669,90478
2012-11-15,0.663,77339
2012-11-16,0.661,98281
2012-11-19,0.661,141239
2012-11-20,0.661,124099
2012-11-21,0.666,462706
2012-11-22,0.655,81410
2012-11-23,0.656,84378
2012-11-26,0.643,81136
2012-11-27,0.62,289685
2012-11-28,0.611,313015
2012-11-29,0.607,227926
2012-11-30,0.608,423819
2012-12-03,0.598,152450
2012-12-04,0.603,644277
2012-12-05,0.627,855071
2012-12-06,0.626,245122
2012-12-07,0.641,584986
2012-12-10,0.649,419438
2012-12-11,0.642,140421
2012-12-12,0.642,211085
2012-12-13,0.633,109484
2012-12-14,0.661,1426724
2012-12-17,0.654,277174
2012-12-18,0.649,330364
2012-12-19,0.654,430816
2012-12-20,0.661,324038
2012-12-21,0.671,456461
2012-12-24,0.683,327318
2012-12-25,0.697,438774
2012-12-26,0.711,298091
2012-12-27,0.703,640556
2012-12-28,0.709,403730
2012-12-31,0.713,469280
2013-01-04,0.708,195375
2013-01-07,0.721,413338
2013-01-08,0.737,802999
2013-01-09,0.735,464823
2013-01-10,0.743,373498
2013-01-11,0.731,401086
2013-01-14,0.762,581618
2013-01-15,0.78,665245
2013-01-16,0.774,335897
2013-01-17,0.768,402748
2013-01-18,0.79,888758
2013-01-21,0.794,322881
2013-01-22,0.774,636260
2013-01-23,0.781,365372
2013-01-24,0.759,643381
2013-01-25,0.763,318683
2013-01-28,0.786,431380
2013-01-29,0.792,427087
2013-01-30,0.784,376244
2013-01-31,0.78,237841
2013-02-01,0.783,431919
2013-02-04,0.771,378951
2013-02-05,0.784,436814
2013-02-06,0.791,816404
2013-02-07,0.806,809222
2013-02-08,0.822,1117258
2013-02-18,0.832,822441
2013-02-19,0.818,725873
2013-02-20,0.851,1055828
2013-02-21,0.838,821687
2013-02-22,0.835,453808
2013-02-25,0.854,687823
2013-02-26,0.85,852343
2013-02-27,0.842,531161
2013-02-28,0.86,479319
2013-03-01,0.885,800173
2013-03-04,0.863,947832
2013-03-05,0.887,728770
2013-03-06,0.902,638779
2013-03-07,0.88,695404
2013-03-08,0.863,538787
2013-03-11,0.867,208085
2013-03-12,0.836,806409
2013-03-13,0.832,377387
2013-03-14,0.84,447905
2013-03-15,0.853,646482
2013-03-18,0.85,660710
2013-03-19,0.841,260534
2013-03-20,0.864,809713
2013-03-21,0.88,690381
2013-03-22,0.878,325170
2013-03-25,0.88,331232
2013-03-26,0.872,504715
2013-03-27,0.882,305655
2013-03-28,0.864,416561
2013-03-29,0.86,339706
2013-04-01,0.875,192523
2013-04-02,0.847,390504
2013-04-03,0.829,218596
2013-04-08,0.854,351710
2013-04-09,0.86,197859
2013-04-10,0.849,224292
2013-04-11,0.849,114173
2013-04-12,0.844,81204
2013-04-15,0.834,291758
2013-04-16,0.842,142936
2013-04-17,0.866,268304
2013-04-18,0.871,225912
2013-04-19,0.891,607320
2013-04-22,0.915,545647
2013-04-23,0.892,389976
2013-04-24,0.926,604080
2013-04-25,0.898,711626
2013-04-26,0.89,496715
2013-05-02,0.914,346461
2013-05-03,0.938,553730
2013-05-06,0.953,481961
2013-05-07,0.95,393099
2013-05-08,0.982,434831
2013-05-09,0.99,518133
2013-05-10,0.987,506116
2013-05-13,0.991,1113491
2013-05-14,0.971,367971
2013-05-15,1.01,969604
2013-05-16,1.007,1480437
2013-05-17,1.017,579936
2013-05-20,1.048,651891
2013-05-21,1.073,664532
2013-05-22,1.039,968956
2013-05-23,1.043,1073341
2013-05-24,1.07,560496
2013-05-27,1.085,725470
2013-05-28,1.054,662145
2013-05-29,1.064,662322
2013-05-30,1.068,559016
2013-05-31,1.067,536093
2013-06-03,1.046,500841
2013-06-04,1.02,453726
2013-06-05,1.035,597635
2013-06-06,1.018,240875
2013-06-07,1.032,562565
2013-06-13,1.024,535753
2013-06-14,1.069,812226
2013-06-17,1.067,1009667
2013-06-18,1.068,627661
2013-06-19,1.064,885713
2013-06-20,1.023,726367
2013-06-21,1.027,695205
2013-06-24,0.963,870462
2013-06-25,0.986,1260763
2013-06-26,1.045,1680995
2013-06-27,1.02,1434098
2013-06-28,1.003,763320
2013-07-01,1.06,1881464
2013-07-02,1.083,3253971
2013-07-03,1.1,3206378
2013-07-04,1.087,2177873
2013-07-05,1.052,1104697
2013-07-08,1.027,2173860
2013-07-09,1.048,2159888
2013-07-10,1.069,1551141
2013-07-11,1.082,680921
2013-07-12,1.092,1808009
2013-07-15,1.138,2244858
2013-07-16,1.137,2725218
2013-07-17,1.126,1653199
2013-07-18,1.124,2143762
2013-07-19,1.106,2846603
2013-07-22,1.154,2570605
2013-07-23,1.173,2173728
2013-07-24,1.2,3732269
2013-07-25,1.147,2356048
2013-07-26,1.152,2626616
2013-07-29,1.124,2810274
2013-07-30,1.11,2314290
2013-07-31,1.122,2291752
2013-08-01,1.177,3684742
2013-08-02,1.169,3028625
2013-08-05,1.193,2086144
2013-08-06,1.196,1958857
2013-08-07,1.162,1974474
2013-08-08,1.171,2163543
2013-08-09,1.161,1815302
2013-08-12,1.152,1294422
2013-08-13,1.163,1780802
2013-08-14,1.172,2324774
2013-08-15,1.151,2405839
2013-08-16,1.117,1635159
2013-08-19,1.164,2250595
2013-08-20,1.16,1642534
2013-08-21,1.164,1712151
2013-08-22,1.181,1415174
2013-08-23,1.198,2624518
2013-08-26,1.22,1532379
2013-08-27,1.229,1594952
2013-08-28,1.209,1342590
2013-08-29,1.207,1237749
2013-08-30,1.171,1515886
2013-09-02,1.197,1291637
2013-09-03,1.214,982708
2013-09-04,1.215,1004941
2013-09-05,1.248,1095001
2013-09-06,1.262,1160556
2013-09-09,1.255,853885
2013-09-10,1.244,614481
2013-09-11,1.202,1129189
2013-09-12,1.207,1740595
2013-09-13,1.235,1820892
2013-09-16,1.257,2650734
2013-09-17,1.246,1263686
2013-09-18,1.265,1326950
2013-09-23,1.3,1386806
2013-09-24,1.305,1773285
2013-09-25,1.299,1274971
2013-09-26,1.281,1136326
2013-09-27,1.308,1151552
2013-09-30,1.346,964140
2013-10-08,1.36,1552940
2013-10-09,1.39,1386407
2013-10-10,1.349,1387562
2013-10-11,1.36,805656
2013-10-14,1.373,1184671
2013-10-15,1.365,1403711
2013-10-16,1.312,1798339
2013-10-17,1.299,1167330
2013-10-18,1.332,1284190
2013-10-21,1.376,1369935
2013-10-22,1.318,2017331
2013-10-23,1.289,1773683
2013-10-24,1.268,1238761
2013-10-25,1.252,1422296
2013-10-28,1.255,1553475
2013-10-29,1.234,2565582
2013-10-30,1.252,1256514
2013-10-31,1.211,1225140
2013-11-01,1.199,1427733
2013-11-04,1.202,1226397
2013-11-05,1.236,1767103
2013-11-06,1.22,2181917
2013-11-07,1.2,1702114
2013-11-08,1.189,1689148
2013-11-11,1.19,1118333
2013-11-12,1.206,1060822
2013-11-13,1.189,1412779
2013-11-14,1.225,2252498
2013-11-15,1.247,1580399
2013-11-18,1.268,1102709
2013-11-19,1.276,1222134
2013-11-20,1.274,1281284
2013-11-21,1.272,1044544
2013-11-22,1.268,785756
2013-11-25,1.272,624946
2013-11-26,1.265,641426
2013-11-27,1.308,1390282
2013-11-28,1.311,673984
2013-11-29,1.341,1217333
2013-12-02,1.208,2833708
2013-12-03,1.227,2560859
2013-12-04,1.22,1033548
2013-12-05,1.18,888988
2013-12-06,1.186,948119
2013-12-09,1.217,1403122
2013-12-10,1.208,946716
2013-12-11,1.228,961679
2013-12-12,1.252,1752944
2013-12-13,1.251,1106608
2013-12-16,1.255,1179003
2013-12-17,1.239,1759369
2013-12-18,1.228,648458
2013-12-19,1.234,1441458
2013-12-20,1.23,1139684
2013-12-23,1.215,657204
2013-12-24,1.236,902230
2013-12-25,1.262,1387214
2013-12-26,1.243,1533253
2013-12-27,1.273,1123102
2013-12-30,1.28,1317752
2013-12-31,1.274,629995
2014-01-02,1.306,1371415
2014-01-03,1.325,1549657
2014-01-06,1.299,1474597
2014-01-07,1.324,1643133
2014-01-08,1.375,2236755
2014-01-09,1.348,1661875
2014-01-10,1.324,1127778
2014-01-13,1.336,687060
2014-01-14,1.377,1013576
2014-01-15,1.39,1794092
2014-01-16,1.371,1011538
2014-01-17,1.367,1364668
2014-01-20,1.342,1104931
2014-01-21,1.381,1407239
2014-01-22,1.399,1914607
2014-01-23,1.43,2496424
2014-01-24,1.453,1620570
2014-01-27,1.445,1829349
2014-01-28,1.441,2229167
2014-01-29,1.466,999432
2014-01-30,1.463,755076
2014-02-07,1.498,1446143
2014-02-10,1.516,1424599
2014-02-11,1.492,1855477
2014-02-12,1.506,1460443
2014-02-13,1.45,1999374
2014-02-14,1.479,2312393
2014-02-17,1.521,2336671
2014-02-18,1.507,2458289
2014-02-19,1.506,2093162
2014-02-20,1.483,2464430
2014-02-21,1.483,2168142
2014-02-24,1.505,2596070
2014-02-25,1.432,3793905
2014-02-26,1.431,3915338
2014-02-27,1.385,2045747
2014-02-28,1.4,3037514
2014-03-03,1.43,2222959
2014-03-04,1.421,2279676
2014-03-05,1.427,1431035
2014-03-06,1.426,2027560
2014-03-07,1.428,1117262
2014-03-10,1.37,2071785
2014-03-11,1.363,1223449
2014-03-12,1.364,2899146
2014-03-13,1.405,1965718
2014-03-14,1.398,2262447
2014-03-17,1.438,1709493
2014-03-18,1.444,2182822
2014-03-19,1.427,1939611
2014-03-20,1.382,1474125
2014-03-21,1.382,2656925
2014-03-24,1.359,1093322
2014-03-25,1.359,1538894
2014-03-26,1.385,2039386
2014-03-27,1.332,1502041
2014-03-28,1.292,1679092
2014-03-31,1.297,1541677
2014-04-01,1.321,2168072
2014-04-02,1.292,1483742
2014-04-03,1.294,1889494
2014-04-04,1.314,2218644
2014-04-08,1.318,1285204
2014-04-09,1.336,2179887
2014-04-10,1.347,1856710
2014-04-11,1.329,1637871
2014-04-14,1.339,1121190
2014-04-15,1.333,754967
2014-04-16,1.328,519955
2014-04-17,1.337,843355
2014-04-18,1.344,768585
2014-04-21,1.329,894625
2014-04-22,1.303,748427
2014-04-23,1.297,346562
2014-04-24,1.284,779106
2014-04-25,1.26,1564442
2014-04-28,1.228,2333116
2014-04-29,1.235,1617217
2014-04-30,1.254,1267690
2014-05-05,1.272,1926225
2014-05-06,1.285,1632969
2014-05-07,1.257,542949
2014-05-08,1.252,1132376
2014-05-09,1.23,1199351
2014-05-12,1.252,1323039
2014-05-13,1.245,1596612
2014-05-14,1.253,809006
2014-05-15,1.223,1163372
2014-05-16,1.202,1191425
2014-05-19,1.203,1117824
2014-05-20,1.22,1474573
2014-05-21,1.234,1078509
2014-05-22,1.242,1916107
2014-05-23,1.27,1328109
2014-05-26,1.289,2095019
2014-05-27,1.277,1405584
2014-05-28,1.314,1908134
2014-05-29,1.287,2172674
2014-05-30,1.291,1829122
2014-06-03,1.287,1729296
2014-06-04,1.295,1854614
2014-06-05,1.325,2539179
2014-06-06,1.321,2454250
2014-06-09,1.294,1061739
2014-06-10,1.324,2540289
2014-06-11,1.337,2082832
2014-06-12,1.334,1500821
2014-06-13,1.35,1847799
2014-06-16,1.363,1646778
2014-06-17,1.35,1726760
2014-06-18,1.337,1379141
2014-06-19,1.291,2343008
2014-06-20,1.305,2289472
2014-06-23,1.332,2050762
2014-06-24,1.342,1357536
2014-06-25,1.328,1625877
2014-06-26,1.355,2865133
2014-06-27,1.357,1810901
2014-06-30,1.372,2132771
2014-07-01,1.381,1989055
2014-07-02,1.389,1565389
2014-07-03,1.389,930799
2014-07-04,1.381,1162540
2014-07-07,1.364,1673480
2014-07-08,1.381,1899868
2014-07-09,1.353,2267807
2014-07-10,1.332,1504635
2014-07-11,1.329,1232699
2014-07-14,1.338,1964719
2014-07-15,1.311,1655201
2014-07-16,1.289,1659017
2014-07-17,1.282,2388855
2014-07-18,1.279,1522789
2014-07-21,1.278,2104827
2014-07-22,1.301,2083040
2014-07-23,1.263,2167829
2014-07-24,1.242,2427568
2014-07-25,1.257,2108294
2014-07-28,1.285,2124616
2014-07-29,1.3,2093336
2014-07-30,1.313,1734089
2014-07-31,1.313,1482057
2014-08-01,1.29,1828267
2014-08-04,1.299,1324697
2014-08-05,1.332,3399830
2014-08-06,1.335,2557249
2014-08-07,1.332,2264206
2014-08-08,1.347,924301
2014-08-11,1.366,1424730
2014-08-12,1.364,1347881
2014-08-13,1.35,1047299
2014-08-14,1.346,990951
2014-08-15,1.36,645215
2014-08-18,1.396,2110494
2014-08-19,1.404,1437207
2014-08-20,1.392,944493
2014-08-21,1.415,1608578
2014-08-22,1.429,1253332
2014-08-25,1.408,1748332
2014-08-26,1.377,1779183
2014-08-27,1.388,1326304
2014-08-28,1.37,1734623
2014-08-29,1.394,1215674
2014-09-01,1.417,1230374
2014-09-02,1.43,1350604
