Date,High,Close,Low,Index
2012/7/18,"2,695.82","2,695.35","2,644.66",0
2012/7/19,"2,735.55","2,715.88","2,681.64",1
2012/7/20,"2,720.33","2,692.55","2,685.81",2
2012/7/23,"2,673.77","2,660.15","2,646.22",3
2012/7/24,"2,691.93","2,675.53","2,645.02",4
2012/7/25,"2,680.50","2,656.74","2,652.76",5
2012/7/26,"2,673.93","2,638.34","2,636.13",6
2012/7/27,"2,652.29","2,632.71","2,623.16",7
2012/7/30,"2,648.21","2,600.72","2,595.30",8
2012/7/31,"2,604.10","2,580.40","2,574.05",9
2012/8/1,"2,629.35","2,615.48","2,578.00",10
2012/8/2,"2,620.05","2,593.60","2,582.04",11
2012/8/3,"2,628.80","2,628.53","2,590.65",12
2012/8/6,"2,677.66","2,675.80","2,619.91",13
2012/8/7,"2,689.59","2,689.00","2,671.46",14
2012/8/8,"2,701.71","2,686.01","2,674.07",15
2012/8/9,"2,716.69","2,716.33","2,671.90",16
2012/8/10,"2,718.18","2,706.73","2,698.67",17
2012/8/13,"2,700.62","2,651.26","2,650.20",18
2012/8/14,"2,664.73","2,664.73","2,615.04",19
2012/8/15,"2,657.90","2,636.57","2,634.80",20
2012/8/16,"2,640.00","2,620.77","2,616.74",21
2012/8/17,"2,624.20","2,617.06","2,593.53",22
2012/8/20,"2,618.10","2,612.80","2,583.91",23
2012/8/21,"2,648.09","2,637.70","2,607.78",24
2012/8/22,"2,640.60","2,617.65","2,606.56",25
2012/8/23,"2,634.78","2,629.53","2,605.41",26
2012/8/24,"2,624.65","2,589.80","2,589.42",27
2012/8/27,"2,580.10","2,533.08","2,533.08",28
2012/8/28,"2,561.05","2,546.60","2,525.10",29
2012/8/29,"2,554.87","2,525.71","2,525.59",30
2012/8/30,"2,531.49","2,504.94","2,474.40",31
2012/8/31,"2,515.83","2,504.76","2,495.91",32
2012/9/3,"2,545.46","2,539.72","2,497.18",33
2012/9/4,"2,546.03","2,514.30","2,509.61",34
2012/9/5,"2,527.75","2,518.50","2,498.81",35
2012/9/6,"2,542.93","2,542.35","2,520.53",36
2012/9/7,"2,669.53","2,644.54","2,560.07",37
2012/9/10,"2,669.54","2,661.06","2,640.31",38
2012/9/11,"2,650.69","2,647.72","2,628.00",39
2012/9/12,"2,672.17","2,661.14","2,634.88",40
2012/9/13,"2,667.16","2,630.40","2,630.40",41
2012/9/14,"2,664.21","2,642.75","2,622.67",42
2012/9/17,"2,641.13","2,572.49","2,572.35",43
2012/9/18,"2,572.28","2,553.31","2,543.78",44
2012/9/19,"2,572.51","2,570.37","2,549.74",45
2012/9/20,"2,562.55","2,503.59","2,501.85",46
2012/9/21,"2,522.11","2,497.76","2,488.98",47
2012/9/24,"2,525.85","2,515.74","2,467.67",48
2012/9/25,"2,525.51","2,504.28","2,496.61",49
2012/9/26,"2,509.68","2,461.83","2,457.56",50
2012/9/27,"2,542.66","2,528.33","2,460.82",51
2012/9/28,"2,576.39","2,574.14","2,510.65",52
2012/10/8,"2,587.42","2,556.07","2,543.29",53
2012/10/9,"2,617.15","2,617.14","2,564.45",54
2012/10/10,"2,631.77","2,631.23","2,604.02",55
2012/10/11,"2,629.09","2,600.44","2,599.38",56
2012/10/12,"2,630.61","2,599.43","2,578.07",57
2012/10/15,"2,600.20","2,586.19","2,565.54",58
2012/10/16,"2,611.01","2,592.09","2,577.66",59
2012/10/17,"2,606.66","2,596.88","2,572.40",60
2012/10/18,"2,643.35","2,638.11","2,600.85",61
2012/10/19,"2,644.83","2,632.66","2,627.89",62
2012/10/22,"2,648.28","2,643.57","2,613.92",63
2012/10/23,"2,646.57","2,612.12","2,609.28",64
2012/10/24,"2,621.50","2,607.51","2,599.31",65
2012/10/25,"2,624.73","2,585.73","2,583.54",66
2012/10/26,"2,586.32","2,535.05","2,521.64",67
2012/10/29,"2,537.58","2,525.49","2,515.21",68
2012/10/30,"2,549.19","2,529.28","2,521.89",69
2012/10/31,"2,542.54","2,542.54","2,520.39",70
2012/11/1,"2,596.15","2,589.82","2,543.67",71
2012/11/2,"2,603.83","2,601.47","2,576.74",72
2012/11/5,"2,610.97","2,593.90","2,582.49",73
2012/11/6,"2,594.75","2,579.63","2,544.84",74
2012/11/7,"2,588.50","2,575.57","2,563.43",75
2012/11/8,"2,560.12","2,521.68","2,521.68",76
2012/11/9,"2,529.88","2,515.23","2,507.72",77
2012/11/12,"2,531.18","2,529.77","2,508.51",78
2012/11/13,"2,529.14","2,482.91","2,478.90",79
2012/11/14,"2,493.72","2,491.71","2,469.67",80
2012/11/15,"2,489.95","2,454.24","2,453.82",81
2012/11/16,"2,450.69","2,437.33","2,421.36",82
2012/11/19,"2,440.09","2,439.70","2,408.67",83
2012/11/20,"2,450.58","2,430.18","2,429.16",84
2012/11/21,"2,460.38","2,460.38","2,408.05",85
2012/11/22,"2,448.57","2,436.54","2,429.71",86
2012/11/23,"2,460.69","2,449.26","2,436.15",87
2012/11/26,"2,447.83","2,425.89","2,422.52",88
2012/11/27,"2,418.26","2,372.31","2,371.87",89
2012/11/28,"2,362.85","2,336.53","2,332.31",90
2012/11/29,"2,351.07","2,318.07","2,317.09",91
2012/11/30,"2,349.42","2,346.83","2,311.79",92
2012/12/3,"2,358.97","2,303.79","2,302.91",93
2012/12/4,"2,333.60","2,330.01","2,284.83",94
2012/12/5,"2,426.74","2,414.62","2,322.80",95
2012/12/6,"2,425.86","2,411.41","2,397.90",96
2012/12/7,"2,465.31","2,461.04","2,404.51",97
2012/12/10,"2,498.77","2,494.75","2,462.13",98
2012/12/11,"2,500.37","2,479.56","2,476.19",99
2012/12/12,"2,493.40","2,485.39","2,462.33",100
2012/12/13,"2,486.81","2,455.78","2,455.12",101
2012/12/14,"2,570.11","2,569.54","2,456.09",102
2012/12/17,"2,592.83","2,583.26","2,570.12",103
