index,ATR,Date,modified_chg,chg,period_flunc
92,0.015548168976294097,2012-11-30,1.2407,1.2407,0.053563117023100904
161,0.018909802154177962,2013-03-19,0.6074,0.6074,0.05723560279870832
174,0.018639685282159976,2013-04-09,0.7935,0.7935,0.050734613426977604
216,0.016457829372218572,2013-06-14,1.3038,1.3038,0.08759706728684613
224,0.017987483158634018,2013-06-26,1.0802,1.0802,0.10353780435106008
307,0.016377153327246124,2013-10-30,1.5408,1.5408,0.06259235837835886
346,0.01575120234233184,2013-12-24,0.5053,0.5053,0.05895820835832832
360,0.015965518760417376,2014-01-14,1.471,1.471,0.052474807197057216
388,0.015571522479583167,2014-02-28,1.0809,1.0809,0.06445474265430884
429,0.01566679570000211,2014-04-29,1.1918,1.1918,0.0729134210276765
679,0.02009982900676516,2015-05-08,3.0711448073440546,3.0788,0.06260731153201626
715,0.03333883095969105,2015-06-30,4.237468951512192,5.471,0.16004102404464837
722,0.040080012928941436,2015-07-09,3.5131422002933235,4.9733,0.23128616763113685
736,0.04626897733160353,2015-07-29,2.624518877730051,3.9919,0.10805299529612811
740,0.04698127024663861,2015-08-04,2.938214516881111,4.5033,0.05724548370305049
757,0.050765052689040115,2015-08-27,2.838519920104271,4.5223,0.2361779820523484
763,0.05244775737995687,2015-09-08,2.1523067279196324,3.4854,0.072112135724689
769,0.05343518773586154,2015-09-16,3.5287350428302613,5.7679,0.09703540161821367
843,0.024264088581140795,2016-01-06,2.096861652205197,2.3096,0.10023719876198123
849,0.02723704800999418,2016-01-14,2.539708505130257,2.9638,0.0877970726103412
860,0.029363509941010578,2016-01-29,2.9159443808023275,3.5332,0.11104416514192306
877,0.03122364161971353,2016-03-01,1.6505362342316399,2.0623,0.11072212272206128
914,0.02722554095668228,2016-04-22,0.5944780496082525,0.6936,0.05425801292730048
929,0.022982350982200146,2016-05-16,1.23622977249779,1.3252,0.071055063256103
983,0.016347846500819226,2016-08-02,0.6968,0.6968,0.050651113493947464
1172,0.00949989421905875,2017-05-16,1.5435930245635658,1.5045,0.0897622308430217
1358,0.013053105135283584,2018-02-12,1.852,1.852,0.1327038285899962
1384,0.013959769605994033,2018-03-27,1.6324,1.6324,0.06469676627879362
1427,0.013077083378350528,2018-05-31,1.7783,1.7783,0.057703861026730086
1440,0.014566723044312894,2018-06-20,0.7338,0.7338,0.07831685536597022
1474,0.017202179761289658,2018-08-07,2.7422,2.7422,0.08788441240031541
1519,0.018217365842356743,2018-10-17,0.6646,0.6646,0.11718836340832162
1549,0.02023910474664142,2018-11-28,1.2441848341814863,1.2516,0.0543509227311576
1567,0.020810719877565262,2018-12-24,0.5851578357923933,0.5969,0.053236676517737336
1650,0.02138672594837247,2019-04-30,0.630701175038934,0.6522,0.05741132051185782
1718,0.01597485698263262,2019-08-08,1.0334,1.0334,0.06461592795338156
1833,0.012949841756502425,2020-02-04,1.7316,1.7316,0.12018665294804498
1852,0.0164107925867543,2020-03-02,3.6183,3.6183,0.060851316438550906
1866,0.02184962346023817,2020-03-20,1.4036303054372175,1.4671,0.10699005981141319
1946,0.016078175243844712,2020-07-20,3.0723,3.0723,0.07586710230709792
2094,0.016233521465116134,2021-03-01,1.8885,1.8885,0.06018482890611665
2102,0.018239412458826442,2021-03-11,2.4505,2.4505,0.07679552735070194
2197,0.013507067120392504,2021-07-29,2.5,2.5,0.07063454792973833
2318,0.010988917274231035,2022-01-26,0.661,0.661,0.05004868348522229
2344,0.014448203558434814,2022-03-10,1.8035,1.8035,0.08241270591098271
2376,0.02086861032590165,2022-04-27,3.435000837898908,3.5088,0.12860447185813406
2466,0.014811186932797578,2022-09-06,1.3555,1.3555,0.05085759340588181
2475,0.014251639439739757,2022-09-20,0.6957,0.6957,0.05655983425804578
2486,0.014256748900241246,2022-10-12,2.1207,2.1207,0.052401318125054885
2539,0.016035095758549438,2022-12-26,1.0587,1.0587,0.05700986256748486
2621,0.010622524172436155,2023-04-28,1.3489,1.3489,0.05149161606897534
