Date,801010.SL,801030.SL,801040.SL,801050.SL,801080.SL,801110.SL,801120.SL,801130.SL,801140.SL,801150.SL,801160.SL,801170.SL,801180.SL,801200.SL,801210.SL,801230.SL,801710.SL,801720.SL,801730.SL,801740.SL,801750.SL,801760.SL,801770.SL,801780.SL,801790.SL,801880.SL,801890.SL,801950.SL,801960.SL,801970.SL,801980.SL
2012/1/4,1659.45 ,1655.20 ,1942.09 ,2942.54 ,1174.52 ,1826.10 ,4967.09 ,1649.42 ,1349.43 ,3244.56 ,1538.58 ,1575.08 ,2086.06 ,3008.55 ,2279.88 ,1456.65 ,3172.02 ,1449.83 ,3049.84 ,749.85 ,1461.04 ,430.97 ,1359.29 ,2003.33 ,862.48 ,2350.72 ,878.50 ,2983.43 ,1830.60 ,1414.01 ,2768.33 
2012/1/5,1569.13 ,1599.42 ,1909.15 ,2852.99 ,1121.22 ,1817.10 ,4878.25 ,1583.87 ,1296.45 ,3101.72 ,1495.68 ,1554.62 ,2038.63 ,2913.49 ,2183.14 ,1396.79 ,3054.45 ,1414.68 ,2931.45 ,721.34 ,1384.62 ,416.99 ,1312.87 ,2041.07 ,851.92 ,2317.10 ,848.52 ,2920.30 ,1817.60 ,1346.01 ,2635.30 
2012/1/6,1543.90 ,1613.57 ,1942.37 ,2911.42 ,1130.51 ,1817.90 ,4922.14 ,1596.95 ,1296.44 ,3093.33 ,1505.89 ,1559.81 ,2039.41 ,2919.47 ,2155.66 ,1410.18 ,3073.43 ,1413.69 ,2951.89 ,714.82 ,1388.98 ,416.60 ,1315.47 ,2054.25 ,862.69 ,2317.52 ,850.58 ,2952.11 ,1835.76 ,1354.87 ,2649.60 
2012/1/9,1599.41 ,1688.51 ,1998.42 ,3064.99 ,1179.85 ,1894.20 ,5007.18 ,1654.69 ,1348.14 ,3193.79 ,1553.60 ,1605.66 ,2117.61 ,3019.68 ,2229.66 ,1469.15 ,3219.39 ,1457.29 ,3065.83 ,739.73 ,1441.35 ,432.03 ,1360.85 ,2097.70 ,892.88 ,2408.71 ,888.34 ,3190.69 ,1904.91 ,1406.65 ,2720.16 
2012/1/10,1684.11 ,1755.61 ,2068.13 ,3223.09 ,1227.78 ,1959.81 ,5179.82 ,1716.49 ,1398.16 ,3306.73 ,1593.73 ,1659.68 ,2178.32 ,3141.75 ,2312.43 ,1528.18 ,3404.66 ,1526.28 ,3193.34 ,769.77 ,1493.64 ,448.10 ,1413.37 ,2118.00 ,927.13 ,2501.56 ,931.25 ,3353.57 ,1959.66 ,1446.95 ,2787.29 
2012/1/11,1691.85 ,1756.81 ,2083.85 ,3241.77 ,1232.34 ,1927.79 ,5152.88 ,1708.31 ,1397.60 ,3297.59 ,1584.98 ,1651.20 ,2173.39 ,3140.77 ,2313.65 ,1524.99 ,3383.82 ,1522.87 ,3193.99 ,772.34 ,1515.10 ,449.43 ,1415.36 ,2103.69 ,920.91 ,2499.63 ,929.58 ,3350.77 ,1946.31 ,1445.23 ,2791.43 
2012/1/12,1676.90 ,1760.38 ,2068.15 ,3279.78 ,1232.48 ,1910.50 ,5125.89 ,1704.55 ,1391.48 ,3290.48 ,1588.17 ,1648.08 ,2186.83 ,3113.15 ,2303.81 ,1525.43 ,3394.10 ,1518.35 ,3187.93 ,775.22 ,1499.88 ,443.03 ,1399.76 ,2117.58 ,920.53 ,2495.99 ,926.70 ,3332.18 ,1938.99 ,1446.86 ,2744.51 
2012/1/13,1617.08 ,1705.60 ,2020.02 ,3239.96 ,1179.88 ,1874.65 ,5038.69 ,1646.72 ,1340.11 ,3166.18 ,1540.06 ,1613.89 ,2136.26 ,3012.76 ,2226.20 ,1471.45 ,3250.71 ,1479.02 ,3061.67 ,745.72 ,1430.22 ,421.83 ,1346.05 ,2110.94 ,904.64 ,2409.57 ,892.31 ,3284.66 ,1903.37 ,1368.09 ,2650.36 
2012/1/16,1561.90 ,1651.75 ,1988.18 ,3083.86 ,1131.20 ,1849.04 ,4792.88 ,1587.66 ,1296.84 ,3045.63 ,1505.79 ,1593.53 ,2085.26 ,2910.33 ,2154.99 ,1429.19 ,3158.43 ,1438.82 ,2938.26 ,719.94 ,1381.48 ,406.93 ,1316.74 ,2100.83 ,895.85 ,2372.84 ,873.75 ,3211.85 ,1874.24 ,1310.44 ,2569.74 
2012/1/17,1642.20 ,1749.06 ,2101.49 ,3382.24 ,1193.52 ,1923.34 ,4952.36 ,1662.54 ,1364.81 ,3174.49 ,1573.07 ,1671.41 ,2180.24 ,3065.60 ,2254.12 ,1503.81 ,3363.60 ,1515.03 ,3093.13 ,763.51 ,1449.09 ,425.22 ,1370.42 ,2147.91 ,950.91 ,2504.50 ,926.13 ,3452.62 ,1954.38 ,1373.42 ,2658.83 
