Date,North
2017-01-03,-0.5629
2017-01-04,-8.2966
2017-01-05,-3.924
2017-01-06,-15.701
2017-01-09,-0.6542
2017-01-10,2.5432
2017-01-11,16.8608
2017-01-12,12.285
2017-01-13,12.053
2017-01-16,-8.083
2017-01-17,10.5458
2017-01-18,13.9136
2017-01-19,10.6391
2017-01-20,16.7727
2017-01-23,13.991
2017-01-24,13.6544
2017-01-25,1.7442
2017-01-26,8.6132
2017-02-03,13.0867
2017-02-06,27.7627
2017-02-07,16.3211
2017-02-08,12.1851
2017-02-09,18.7181
2017-02-10,16.2104
2017-02-13,16.9835
2017-02-14,13.4662
2017-02-15,23.0833
2017-02-16,18.6494
2017-02-17,12.1927
2017-02-20,18.3337
2017-02-21,13.1423
2017-02-22,10.7675
2017-02-23,14.1366
2017-02-24,7.7148
2017-02-27,3.7498
2017-02-28,1.5026
2017-03-01,8.9289
2017-03-02,3.9168
2017-03-03,1.282
2017-03-06,2.5778
2017-03-07,3.0321
2017-03-08,0.6022
2017-03-09,-19.1218
2017-03-10,-8.4266
2017-03-13,7.1867
2017-03-14,-9.9215
2017-03-15,3.5561
2017-03-16,17.7923
2017-03-17,12.0551
2017-03-20,15.6699
2017-03-21,8.74
2017-03-22,5.2618
2017-03-23,16.8768
2017-03-24,17.253
2017-03-27,3.1778
2017-03-28,8.809
2017-03-29,2.6604
2017-03-30,11.8037
2017-03-31,-2.0005
2017-04-05,13.9941
2017-04-06,-0.0258
2017-04-07,4.4914
2017-04-10,7.3991
2017-04-11,-4.7544
2017-04-12,-3.5509
2017-04-18,0.2419
2017-04-19,10.5066
2017-04-20,16.329
2017-04-21,6.3411
2017-04-24,3.5557
2017-04-25,14.0887
2017-04-26,9.6083
2017-04-27,5.2168
2017-04-28,16.722
2017-05-04,10.446
2017-05-05,-2.645
2017-05-08,2.2001
2017-05-09,21.3234
2017-05-10,21.256
2017-05-11,22.4512
2017-05-12,1.0745
2017-05-15,16.5016
2017-05-16,30.004
2017-05-17,14.931
2017-05-18,9.602
2017-05-19,12.7001
2017-05-22,5.6533
2017-05-23,2.7725
2017-05-24,10.5185
2017-05-25,15.0703
2017-05-26,-0.1523
2017-05-31,-16.27
2017-06-01,-16.968
2017-06-02,15.6286
2017-06-05,18.0144
2017-06-06,20.2122
2017-06-07,22.5453
2017-06-08,22.8857
2017-06-09,13.2558
2017-06-12,-10.5967
2017-06-13,4.8187
2017-06-14,-13.239
2017-06-15,22.2485
2017-06-16,9.7481
2017-06-19,22.8799
2017-06-20,3.1171
2017-06-21,13.7256
2017-06-22,16.8812
2017-06-23,14.0521
2017-06-26,1.3591
2017-06-27,26.4754
2017-06-28,-3.9857
2017-06-29,29.9561
2017-06-30,-11.8185
2017-07-03,4.0767
2017-07-04,-6.0083
2017-07-05,5.6854
2017-07-06,-10.7096
2017-07-07,2.6378
2017-07-10,8.9498
2017-07-11,8.2049
2017-07-12,15.0273
2017-07-13,13.511
2017-07-14,0.5297
2017-07-17,13.4889
2017-07-18,20.0142
2017-07-19,17.5218
2017-07-20,1.2741
2017-07-21,15.2481
2017-07-24,15.8944
2017-07-25,12.3526
2017-07-26,17.7448
2017-07-27,26.7273
2017-07-28,23.0658
2017-07-31,18.8892
2017-08-01,14.8826
2017-08-02,2.8001
2017-08-03,23.4822
2017-08-04,28.1256
2017-08-07,27.8841
2017-08-08,18.2119
2017-08-09,12.1583
2017-08-10,-2.7923
2017-08-11,-9.0431
2017-08-14,2.2414
2017-08-15,-0.7786
2017-08-16,8.1248
2017-08-17,6.3422
2017-08-18,-10.7043
2017-08-21,0.7081
2017-08-22,0.1959
2017-08-24,12.417
2017-08-25,30.4364
2017-08-28,37.7086
2017-08-29,17.2229
2017-08-30,32.8774
2017-08-31,17.7836
2017-09-01,41.7872
2017-09-04,17.1961
2017-09-05,9.4016
2017-09-06,1.6279
2017-09-07,9.3161
2017-09-08,4.2978
2017-09-11,20.0663
2017-09-12,24.6882
2017-09-13,2.3535
2017-09-14,0.4644
2017-09-15,-1.8766
2017-09-18,43.8734
2017-09-19,1.3806
2017-09-20,20.0582
2017-09-21,11.9834
2017-09-22,4.845
2017-09-25,-17.6926
2017-09-26,0.2773
2017-09-27,6.4814
2017-09-28,-3.7446
2017-09-29,11.2961
2017-10-09,75.642
2017-10-10,40.8785
2017-10-11,15.96
2017-10-12,3.5827
2017-10-13,2.7245
2017-10-16,14.0666
2017-10-17,16.868
2017-10-18,-5.7198
2017-10-19,-0.337
2017-10-20,-1.6962
2017-10-23,-14.8771
2017-10-24,-32.6987
2017-10-25,4.6384
2017-10-26,15.238
2017-10-27,0.7673
2017-10-30,-11.6605
2017-10-31,-5.1497
2017-11-01,25.4899
2017-11-02,15.1751
2017-11-03,1.9037
2017-11-06,4.8426
2017-11-07,15.2373
2017-11-08,18.6979
2017-11-09,29.8382
2017-11-10,2.3085
2017-11-13,5.748
2017-11-14,3.2938
2017-11-15,-21.5748
2017-11-16,4.2662
2017-11-17,-15.4942
2017-11-20,-9.3714
2017-11-21,-7.0083
2017-11-22,4.0297
2017-11-23,18.869
2017-11-24,8.0727
2017-11-27,-14.3315
2017-11-28,32.9546
2017-11-29,12.9441
2017-11-30,-9.8025
2017-12-01,32.4309
2017-12-04,-1.4629
2017-12-05,-32.3082
2017-12-06,-39.3483
2017-12-07,-15.5033
2017-12-08,36.3775
2017-12-11,15.274
2017-12-12,-7.3554
2017-12-13,28.8105
2017-12-14,6.1924
2017-12-15,-26.63
2017-12-18,18.7086
2017-12-19,15.8513
2017-12-20,-9.339
2017-12-21,12.5249
2017-12-27,8.3239
2017-12-28,27.8569
2017-12-29,15.2565
2018-01-02,33.5706
2018-01-03,44.3083
2018-01-04,43.4097
2018-01-05,24.1145
2018-01-08,17.1081
2018-01-09,28.4252
2018-01-10,15.4928
2018-01-11,0.7301
2018-01-12,21.1973
2018-01-15,-17.5912
2018-01-16,22.9265
2018-01-17,-8.2801
2018-01-18,18.0689
2018-01-19,10.4626
2018-01-22,21.7105
2018-01-23,26.6609
2018-01-24,1.2256
2018-01-25,22.239
2018-01-26,30.0346
2018-01-29,-8.2497
2018-01-30,4.067
2018-01-31,-0.5523
2018-02-01,2.7123
2018-02-02,-1.5151
2018-02-05,-34.6302
2018-02-06,-97.9285
2018-02-07,17.1654
2018-02-08,28.7541
2018-02-09,-26.0874
2018-02-12,-12.5826
2018-02-13,-8.7866
2018-02-14,11.5492
2018-02-22,23.7096
2018-02-23,17.7912
2018-02-26,32.0958
2018-02-27,26.0026
2018-02-28,-4.5458
2018-03-01,12.1766
2018-03-02,-10.5934
2018-03-05,-13.7652
