Date,Value1,Value2,Index
2012-07-18,0.2925,"2,695.35",0
2012-07-19,0.7619,"2,715.88",1
2012-07-20,-0.8591,"2,692.55",2
2012-07-23,-1.2032,"2,660.15",3
2012-07-24,0.5781,"2,675.53",4
2012-07-25,-0.7021,"2,656.74",5
2012-07-26,-0.6926,"2,638.34",6
2012-07-27,-0.2134,"2,632.71",7
2012-07-30,-1.2152,"2,600.72",8
2012-07-31,-0.7812,"2,580.40",9
2012-08-01,1.3595,"2,615.48",10
2012-08-02,-0.8367,"2,593.60",11
2012-08-03,1.3467,"2,628.53",12
2012-08-06,1.7985,"2,675.80",13
2012-08-07,0.4932,"2,689.00",14
2012-08-08,-0.1113,"2,686.01",15
2012-08-09,1.129,"2,716.33",16
2012-08-10,-0.3537,"2,706.73",17
2012-08-13,-2.0493,"2,651.26",18
2012-08-14,0.5082,"2,664.73",19
2012-08-15,-1.0566,"2,636.57",20
2012-08-16,-0.5996,"2,620.77",21
2012-08-17,-0.1414,"2,617.06",22
2012-08-20,-0.1628,"2,612.80",23
2012-08-21,0.953,"2,637.70",24
2012-08-22,-0.7602,"2,617.65",25
2012-08-23,0.454,"2,629.53",26
2012-08-24,-1.5111,"2,589.80",27
2012-08-27,-2.1898,"2,533.08",28
2012-08-28,0.5337,"2,546.60",29
2012-08-29,-0.8205,"2,525.71",30
2012-08-30,-0.8222,"2,504.94",31
2012-08-31,-0.0071,"2,504.76",32
2012-09-03,1.3956,"2,539.72",33
2012-09-04,-1.0009,"2,514.30",34
2012-09-05,0.1669,"2,518.50",35
2012-09-06,0.9469,"2,542.35",36
2012-09-07,4.0198,"2,644.54",37
2012-09-10,0.6245,"2,661.06",38
2012-09-11,-0.5012,"2,647.72",39
2012-09-12,0.507,"2,661.14",40
2012-09-13,-1.1551,"2,630.40",41
2012-09-14,0.4692,"2,642.75",42
2012-09-17,-2.6584,"2,572.49",43
2012-09-18,-0.7454,"2,553.31",44
2012-09-19,0.6678,"2,570.37",45
2012-09-20,-2.5978,"2,503.59",46
2012-09-21,-0.233,"2,497.76",47
2012-09-24,0.7198,"2,515.74",48
2012-09-25,-0.4553,"2,504.28",49
2012-09-26,-1.6951,"2,461.83",50
2012-09-27,2.7011,"2,528.33",51
2012-09-28,1.8117,"2,574.14",52
2012-10-08,-0.7019,"2,556.07",53
2012-10-09,2.3891,"2,617.14",54
2012-10-10,0.5385,"2,631.23",55
2012-10-11,-1.1703,"2,600.44",56
2012-10-12,-0.039,"2,599.43",57
2012-10-15,-0.5092,"2,586.19",58
2012-10-16,0.2284,"2,592.09",59
2012-10-17,0.1845,"2,596.88",60
2012-10-18,1.5879,"2,638.11",61
2012-10-19,-0.2067,"2,632.66",62
2012-10-22,0.4143,"2,643.57",63
2012-10-23,-1.1894,"2,612.12",64
2012-10-24,-0.1764,"2,607.51",65
2012-10-25,-0.8353,"2,585.73",66
2012-10-26,-1.9602,"2,535.05",67
2012-10-29,-0.3769,"2,525.49",68
2012-10-30,0.15,"2,529.28",69
2012-10-31,0.5244,"2,542.54",70
2012-11-01,1.8594,"2,589.82",71
2012-11-02,0.4497,"2,601.47",72
2012-11-05,-0.291,"2,593.90",73
2012-11-06,-0.5502,"2,579.63",74
2012-11-07,-0.1572,"2,575.57",75
2012-11-08,-2.0923,"2,521.68",76
2012-11-09,-0.2557,"2,515.23",77
2012-11-12,0.5779,"2,529.77",78
2012-11-13,-1.8523,"2,482.91",79
2012-11-14,0.3547,"2,491.71",80
2012-11-15,-1.5041,"2,454.24",81
2012-11-16,-0.6888,"2,437.33",82
2012-11-19,0.0974,"2,439.70",83
2012-11-20,-0.3903,"2,430.18",84
2012-11-21,1.2426,"2,460.38",85
2012-11-22,-0.969,"2,436.54",86
2012-11-23,0.5223,"2,449.26",87
2012-11-26,-0.9541,"2,425.89",88
2012-11-27,-2.2088,"2,372.31",89
2012-11-28,-1.5084,"2,336.53",90
2012-11-29,-0.7902,"2,318.07",91
2012-11-30,1.2407,"2,346.83",92
2012-12-03,-1.8339,"2,303.79",93
2012-12-04,1.1384,"2,330.01",94
2012-12-05,3.6312,"2,414.62",95
2012-12-06,-0.133,"2,411.41",96
2012-12-07,2.0582,"2,461.04",97
2012-12-10,1.3698,"2,494.75",98
2012-12-11,-0.609,"2,479.56",99
2012-12-12,0.2352,"2,485.39",100
2012-12-13,-1.1913,"2,455.78",101
2012-12-14,4.6323,"2,569.54",102
2012-12-17,0.534,"2,583.26",103
2012-12-18,-0.0703,"2,581.45",104
2012-12-19,0.2497,"2,587.89",105
2012-12-20,0.4693,"2,600.04",106
2012-12-21,-0.3396,"2,591.21",107
2012-12-24,0.5061,"2,604.32",108
2012-12-25,2.6074,"2,672.23",109
