Date,Value1,Value2
2017/1/3,0.934,4831.69 
2017/1/4,0.9997,4879.99 
2017/1/5,0.0279,4881.35 
2017/1/6,-0.623,4850.94 
2017/1/9,0.5049,4875.43 
2017/1/10,-0.2802,4861.77 
2017/1/11,-0.8978,4818.12 
2017/1/12,-0.743,4782.32 
2017/1/13,-0.8623,4741.08 
2017/1/16,-2.0196,4645.33 
2017/1/17,0.6516,4675.60 
2017/1/18,-0.0122,4675.03 
2017/1/19,-0.3895,4656.82 
2017/1/20,1.1701,4711.31 
2017/1/23,0.6306,4741.02 
2017/1/24,-0.1713,4732.90 
2017/1/25,0.2793,4746.12 
2017/1/26,0.5122,4770.43 
2017/2/3,-0.4658,4748.21 
2017/2/6,0.68,4780.50 
2017/2/7,-0.0464,4778.28 
2017/2/8,0.5946,4806.69 
2017/2/9,0.5944,4835.26 
2017/2/10,0.1456,4842.30 
2017/2/13,0.6156,4872.11 
2017/2/14,-0.0314,4870.58 
2017/2/15,-0.6944,4836.76 
2017/2/16,0.6298,4867.22 
2017/2/17,-0.7269,4831.84 
2017/2/20,1.1644,4888.10 
2017/2/21,0.6191,4918.36 
2017/2/22,0.3422,4935.19 
2017/2/23,-0.2409,4923.30 
2017/2/24,0.1373,4930.06 
2017/2/27,-0.7738,4891.91 
2017/2/28,0.2935,4906.27 
2017/3/1,0.2226,4917.19 
2017/3/2,-0.6349,4885.97 
2017/3/3,0.0575,4888.78 
2017/3/6,0.8391,4929.80 
2017/3/7,0.2097,4940.14 
2017/3/8,-0.2775,4926.43 
2017/3/9,-0.682,4892.83 
2017/3/10,0.0396,4894.77 
2017/3/13,0.7859,4933.24 
2017/3/14,-0.1224,4927.20 
2017/3/15,0.0256,4928.46 
2017/3/16,0.7674,4966.28 
2017/3/17,-0.8608,4923.53 
2017/3/20,0.2319,4934.95 
2017/3/21,0.3185,4950.67 
2017/3/22,-0.463,4927.75 
2017/3/23,0.1727,4936.26 
2017/3/24,0.5289,4962.37 
2017/3/27,-0.3099,4946.99 
2017/3/28,-0.2591,4934.17 
2017/3/29,-0.3794,4915.45 
2017/3/30,-1.4442,4844.46 
2017/3/31,0.3932,4863.51 
2017/4/5,1.7699,4949.59 
2017/4/6,0.313,4965.08 
2017/4/7,0.1071,4970.40 
2017/4/10,-0.5595,4942.59 
2017/4/11,0.6045,4972.47 
2017/4/12,-0.5581,4944.72 
2017/4/13,0.2835,4958.74 
2017/4/14,-1.1598,4901.23 
2017/4/17,-0.8681,4858.68 
2017/4/18,-0.6987,4824.73 
2017/4/19,-0.9107,4780.79 
2017/4/20,0.0008,4780.83 
2017/4/21,-0.2631,4768.25 
2017/4/24,-2.0391,4671.02 
2017/4/25,0.3295,4686.41 
2017/4/26,0.2198,4696.71 
2017/4/27,0.2657,4709.19 
2017/4/28,0.1898,4718.13 
2017/5/2,-0.1083,4713.02 
2017/5/3,-0.3178,4698.04 
2017/5/4,-0.2829,4684.75 
2017/5/5,-1.0047,4637.68 
2017/5/8,-1.3802,4573.67 
2017/5/9,0.2493,4585.07 
2017/5/10,-1.2379,4528.31 
2017/5/11,-0.0481,4526.13 
2017/5/12,0.3168,4540.47 
2017/5/15,0.3819,4557.81 
2017/5/16,1.5045,4626.38 
2017/5/17,-0.0832,4622.53 
2017/5/18,-0.5501,4597.10 
2017/5/19,0.0546,4599.61 
2017/5/22,-0.8088,4562.41 
2017/5/23,-1.2452,4505.60 
2017/5/24,0.2686,4517.70 
2017/5/25,1.2628,4574.75 
2017/5/26,-0.1045,4569.97 
2017/5/31,0.0477,4572.15 
2017/6/1,-1.1616,4519.04 
2017/6/2,0.3875,4536.55 
2017/6/5,0.1993,4545.59 
2017/6/6,0.5506,4570.62 
2017/6/7,1.6238,4644.84 
2017/6/8,0.3839,4662.67 
2017/6/9,0.2632,4674.94 
2017/6/12,-0.7234,4641.12 
2017/6/13,0.819,4679.13 
2017/6/14,-0.6343,4649.45 
2017/6/15,0.4867,4672.08 
2017/6/16,-0.2279,4661.43 
2017/6/19,0.7974,4698.60 
2017/6/20,-0.026,4697.38 
2017/6/21,0.5888,4725.04 
2017/6/22,-0.8322,4685.72 
2017/6/23,0.4887,4708.62 
2017/6/26,1.2779,4768.79 
2017/6/27,0.165,4776.66 
2017/6/28,-0.6854,4743.92 
2017/6/29,0.5099,4768.11 
2017/6/30,0.0845,4772.14 
2017/7/3,0.1938,4781.39 
2017/7/4,-0.5492,4755.13 
2017/7/5,0.9131,4798.55 
2017/7/6,0.0854,4802.65 
2017/7/7,0.1245,4808.63 
2017/7/10,-0.2847,4794.94 
2017/7/11,-0.4273,4774.45 
2017/7/12,-0.1919,4765.29 
2017/7/13,0.4033,4784.51 
2017/7/14,-0.0635,4781.47 
2017/7/17,-3.0016,4637.95 
2017/7/18,0.5308,4662.57 
2017/7/19,1.6214,4738.17 
2017/7/20,0.5095,4762.31 
2017/7/21,-0.1617,4754.61 
2017/7/24,0.5016,4778.46 
2017/7/25,-0.4194,4758.42 
2017/7/26,-0.1772,4749.99 
2017/7/27,0.6349,4780.15 
2017/7/28,0.2109,4790.23 
