Date,North,Index
2017/1/3,-0.5629,0
2017/1/4,-8.2966,1
2017/1/5,-3.924,2
2017/1/6,-15.701,3
2017/1/9,-0.6542,4
2017/1/10,2.5432,5
2017/1/11,16.8608,6
2017/1/12,12.285,7
2017/1/13,12.053,8
2017/1/16,-8.083,9
2017/1/17,10.5458,10
2017/1/18,13.9136,11
2017/1/19,10.6391,12
2017/1/20,16.7727,13
2017/1/23,13.991,14
2017/1/24,13.6544,15
2017/1/25,1.7442,16
2017/1/26,8.6132,17
2017/2/3,13.0867,18
2017/2/6,27.7627,19
2017/2/7,16.3211,20
2017/2/8,12.1851,21
2017/2/9,18.7181,22
2017/2/10,16.2104,23
2017/2/13,16.9835,24
2017/2/14,13.4662,25
2017/2/15,23.0833,26
2017/2/16,18.6494,27
2017/2/17,12.1927,28
2017/2/20,18.3337,29
2017/2/21,13.1423,30
2017/2/22,10.7675,31
2017/2/23,14.1366,32
2017/2/24,7.7148,33
2017/2/27,3.7498,34
2017/2/28,1.5026,35
2017/3/1,8.9289,36
2017/3/2,3.9168,37
2017/3/3,1.282,38
2017/3/6,2.5778,39
2017/3/7,3.0321,40
2017/3/8,0.6022,41
2017/3/9,-19.1218,42
2017/3/10,-8.4266,43
2017/3/13,7.1867,44
2017/3/14,-9.9215,45
2017/3/15,3.5561,46
2017/3/16,17.7923,47
2017/3/17,12.0551,48
2017/3/20,15.6699,49
2017/3/21,8.74,50
2017/3/22,5.2618,51
2017/3/23,16.8768,52
2017/3/24,17.253,53
2017/3/27,3.1778,54
2017/3/28,8.809,55
2017/3/29,2.6604,56
2017/3/30,11.8037,57
2017/3/31,-2.0005,58
2017/4/5,13.9941,59
2017/4/6,-0.0258,60
2017/4/7,4.4914,61
2017/4/10,7.3991,62
2017/4/11,-4.7544,63
2017/4/12,-3.5509,64
2017/4/13,0,65
2017/4/18,0.2419,66
2017/4/19,10.5066,67
2017/4/20,16.329,68
2017/4/21,6.3411,69
2017/4/24,3.5557,70
2017/4/25,14.0887,71
2017/4/26,9.6083,72
2017/4/27,5.2168,73
2017/4/28,16.722,74
2017/5/2,0,75
2017/5/4,10.446,76
2017/5/5,-2.645,77
2017/5/8,2.2001,78
2017/5/9,21.3234,79
2017/5/10,21.256,80
2017/5/11,22.4512,81
2017/5/12,1.0745,82
2017/5/15,16.5016,83
2017/5/16,30.004,84
2017/5/17,14.931,85
2017/5/18,9.602,86
2017/5/19,12.7001,87
